name,persona,instructions,outcome,checklist,context,maxTurns
[LG-EC-01] Destination switch mid-pitch,Calm Customer,"You are Rahul. Let the agent start pitching Bali. Then say actually Bali nahi, Goa jaana chahta hoon. See if the agent adjusts naturally without confusion.",callback_booked,"Agent does not ignore the destination change|Agent transitions back to discovery cleanly|Agent adjusts pitch to Goa|Agent does not repeat Bali highlights","{""name"": ""Rahul""}",12
[LG-EC-02] Callback then DNC,Calm Customer,"You are Rahul. Agree to a callback and confirm a specific time. Then immediately say actually mat karna call dobara. Be firm about it.",dnd,"Agent honours DNC immediately after callback confirmation|Agent does not argue or re-pitch|Agent exits cleanly|Agent does not try to re-confirm the callback","{""name"": ""Rahul""}",8
[LG-EC-03] Price asked at every stage,Calm Customer,"You are Rahul. Ask kitna padega at every stage — during discovery, pitch, objection, and callback. Push multiple times at each stage.",callback_booked,"Agent defers to expert at every stage consistently|Agent never approximates or makes up a price|Agent stays confident not apologetic|Agent uses defer line naturally not robotically","{""name"": ""Rahul""}",14
[LG-EC-04] Callee speaks only Hindi,Calm Customer,"You are Rahul. Speak only in Hindi throughout the entire call. Never use English. Do not switch even if the agent uses English words.",callback_booked,"Agent maintains Hinglish 60/40 throughout|Agent does not flip to full Hindi|Agent does not switch to full English|Tone stays warm and natural","{""name"": ""Rahul""}",10
[LG-EC-05] Tries to book directly no expert,Calm Customer,"You are Rahul. After the pitch, say mujhe expert se baat nahi karni, abhi hi book karo. Push multiple times to finalise the booking on the call.",interested_no_callback,"Agent never finalises a booking|Agent always defers to expert|Agent explains why expert call is needed|Agent does not make up availability or pricing to close","{""name"": ""Rahul""}",10
[LG-EC-06] Contradictory info,Calm Customer,"You are Rahul. First say you are travelling solo. Later in the same call say wife ke saath jaaunga. Do not acknowledge the contradiction.",callback_booked,"Agent updates group type cleanly without confusion|Agent does not re-ask questions already answered|Agent does not call out the contradiction rudely|Agent adjusts pitch naturally to couple profile","{""name"": ""Rahul""}",12
[LG-EC-07] Switzerland pushed 3 times,Calm Customer,"You are Rahul. Ask about Switzerland during discovery. When redirected, ask again during pitch. Ask a third time during objection handling. Stay persistent.",callback_booked,"Agent holds the off-list guardrail all 3 times|Agent never plans Switzerland|Agent suggests alternatives each time|Agent does not get frustrated or robotic","{""name"": ""Rahul""}",14
[LG-EC-08] Silent one-word answers,Calm Customer,"You are Rahul. Give only one-word answers throughout — haan, nahi, Goa, December, family. Never volunteer information or ask anything.",callback_booked,"Agent completes discovery on minimal input|Agent does not over-talk or fill silence with lists|Agent asks one question at a time|Agent reaches pitch naturally","{""name"": ""Rahul""}",14
[LG-EC-09] Are you a bot asked twice,Calm Customer,"You are Rahul. Mid-call ask are you a bot. When the agent responds, push again — yaar seriously bata, AI ho kya? Stay skeptical on second ask.",callback_booked,"Agent uses guardrail response on first ask|Agent holds the response naturally on second ask|Agent does not break character|Agent steers back to trip after second answer","{""name"": ""Rahul""}",10
[LG-EC-10] Callback outside hours,Calm Customer,"You are Rahul. When asked for a callback time, say raat 9 baje call karna. Stick to it initially. Accept an alternative only if the agent offers a specific option politely.",callback_booked,"Agent does not silently accept 9pm|Agent does not just refuse|Agent offers nearest valid alternatives with specific times|Agent lets callee pick from the options|Call ends with a valid in-hours time confirmed","{""name"": ""Rahul""}",8
