name,persona,instructions,outcome,checklist,context,maxTurns
[LG-01] Wrong number,Calm Customer,"You are not Rahul. When the agent calls and asks for Rahul, say clearly that they have the wrong number. Do not engage further.",wrong_number,"Agent apologises immediately|Agent does not pitch or explain|Agent ends call in Hinglish within 2 turns","{""name"": ""Rahul""}",5
[LG-02] Busy callee asks for callback,Calm Customer,"You are Rahul, a busy professional. Confirm your identity but say you are in a meeting and cannot talk. When asked for a callback time, say kal subah 11 baje. Confirm when the agent repeats it back.",callback_booked,"Agent does not pitch|Agent asks for a specific time|Agent accepts kal subah 11 baje|Agent repeats time back to confirm|Call ends with time locked","{""name"": ""Rahul""}",8
[LG-03] Silent callee after identity confirmation,Calm Customer,"You are Rahul. Confirm identity with a simple yes. After that stay silent. Only respond if directly asked a simple question. Give one-word answers only.",callback_booked,"Agent does not repeat the opening line|Agent asks one simple check-in question|Agent moves into discovery naturally","{""name"": ""Rahul""}",8
[LG-04] Suspicious opener,Calm Customer,"You are Rahul. When the agent calls, say you have no idea who they are and that you never showed any travel interest. Be skeptical but not rude. If the agent explains calmly, slowly warm up and agree to listen for a minute.",callback_booked,"Agent stays calm and does not push|Agent explains briefly without over-pitching|Agent gives callee a choice to continue|Agent moves into discovery if callee agrees","{""name"": ""Rahul""}",10
[LG-05] Callee gives all info upfront,Calm Customer,"You are Rahul. As soon as the agent introduces themselves, volunteer everything: Main December mein Dubai jaana chahta hoon, honeymoon hai, budget 1.5 lakh hai, wife ke saath jaaunga. Do not wait to be asked.",callback_booked,"Agent skips already-answered questions|Agent does not re-ask destination, occasion, group type, budget|Agent moves directly to pitch|Agent leads with 2 tailored highlights for honeymoon Dubai December","{""name"": ""Rahul"", ""lead_destination"": ""Dubai"", ""lead_trip_type"": ""international"", ""lead_budget"": ""1.5 lakh"", ""lead_month"": ""December"", ""lead_group_size"": ""2""}",10
[LG-06] Destination not on list,Calm Customer,"You are Rahul. Say you want to go to Switzerland for your anniversary. When the agent says it is not available, ask what the closest option is. Be open to suggestions.",callback_booked,"Agent does not plan Switzerland|Agent acknowledges honestly|Agent suggests closest available option|Agent does not make up visa or pricing for Switzerland","{""name"": ""Rahul""}",10
[LG-07] Completely undecided callee,Calm Customer,"You are Rahul. When asked about travel plans, say you have no idea where to go. Respond vaguely to every question. Do not volunteer any information. Make the agent work to understand your preferences.",callback_booked,"Agent asks one question at a time|Agent does not dump all destinations|Agent guides callee gently through discovery order|Agent does not pitch prematurely","{""name"": ""Rahul""}",12
[LG-08] Callee keeps changing destination,Calm Customer,"You are Rahul. First say you want to go to Bali. Then change to Japan. Then say actually Goa seems better. Follow wherever the agent takes the conversation after that.",callback_booked,"Agent follows the latest answer without confusion|Agent does not get stuck on previous answers|Agent adjusts naturally to Goa as final choice|Agent completes discovery with Goa","{""name"": ""Rahul""}",12
[LG-09] Callee saw a reel about Santorini,Calm Customer,"You are Rahul. Tell the agent you saw a reel about Santorini and got very excited. Ask if LetsGo can plan a Santorini trip. When told it is not available, ask what is similar.",callback_booked,"Agent does not plan Santorini|Agent acknowledges the excitement genuinely|Agent pivots to closest available option|Agent does not make up details about Santorini","{""name"": ""Rahul""}",10
[LG-10] Callee asks for full itinerary,Calm Customer,"You are Rahul. After the agent presents the destination, ask for a full 7 day itinerary with day by day plan. Push for details.",callback_booked,"Agent does not dump a full itinerary|Agent gives 2 highlights maximum|Agent defers full plan to the expert callback|Agent moves toward booking the callback","{""name"": ""Rahul""}",10
[LG-11] Callee asks exact price,Calm Customer,"You are Rahul. At every opportunity ask for the exact price. Ask how much flights cost, how much hotel costs, total trip cost. Push multiple times for a number.",callback_booked,"Agent does not make up or approximate any price|Agent uses defer to expert line consistently|Agent stays confident not apologetic|Agent moves toward callback as the answer","{""name"": ""Rahul""}",10
[LG-12] Distracted callee mid-pitch,Calm Customer,"You are Rahul. During the pitch, start going off topic. Talk about your office, your weekend plans, something you watched on TV. Come back to the topic only when directly asked.",callback_booked,"Agent acknowledges briefly without ignoring|Agent steers back with one calm question|Agent does not keep pitching while callee is off-topic|Agent does not get frustrated","{""name"": ""Rahul""}",12
[LG-13] Price objection,Calm Customer,"You are Rahul. After the agent pitches, say it sounds too expensive and kuch zyada hai budget se bahar. Be firm but not rude. If the agent focuses on value without offering discounts, slowly open up to hearing more.",callback_booked,"Agent focuses on value not discounts|Agent does not make up a lower price|Agent mentions a lower tier exists and expert will detail it|Agent makes only one attempt","{""name"": ""Rahul""}",10
[LG-14] Trust objection,Calm Customer,"You are Rahul. After the pitch, say you have never heard of LetsGo Travel before and want to know how you can trust them. Be genuinely uncertain not hostile.",callback_booked,"Agent reassures briefly without over-explaining|Agent mentions full written details before any payment|Agent does not make promises an expert has not confirmed|Agent makes only one attempt","{""name"": ""Rahul""}",10
[LG-15] Timing objection,Calm Customer,"You are Rahul. After the pitch, say abhi nahi maybe next year dekhte hain. Sound genuinely unready not disinterested.",callback_requested_busy,"Agent offers planning ahead for better rates|Agent does not push or repeat the pitch|Agent makes only one attempt|Agent respects decision if callee stays firm","{""name"": ""Rahul""}",10
[LG-16] Competitor mention,Calm Customer,"You are Rahul. During or after the pitch, mention that MakeMyTrip gives cheaper rates and you are thinking of booking there instead.",callback_booked,"Agent does not criticise MakeMyTrip|Agent stays graceful and confident|Agent highlights personal planning without making up claims|Agent makes only one attempt","{""name"": ""Rahul""}",10
[LG-17] Are you a bot,Calm Customer,"You are Rahul. Mid conversation ask directly are you a bot or are you AI or is this automated. Ask it twice if the first answer feels evasive.",callback_booked,"Agent uses the exact guardrail response|Agent does not deny or confirm being AI awkwardly|Agent steers back to the trip naturally after answering|Agent stays calm","{""name"": ""Rahul""}",10
[LG-18] DNC mid-call,Calm Customer,"You are Rahul. After the pitch, firmly say mujhe dobara mat call karna. Repeat it if the agent tries to continue.",dnd,"Agent honours DNC immediately|Agent makes no second attempt|Agent does not try to persuade|Agent exits warmly and cleanly","{""name"": ""Rahul""}",6
[LG-19] Rude aggressive callee,Calm Customer,"You are Rahul. Start the call annoyed. Get progressively more frustrated and rude during the conversation. Use harsh language if the agent does not back off quickly.",not_interested,"Agent stays calm throughout|Agent does not argue|Agent uses the calm disengage line|Agent exits cleanly without escalating","{""name"": ""Rahul""}",8
[LG-20] Callback time outside hours,Calm Customer,"You are Rahul. When asked for a callback time, say raat 9 baje call karna. Stick to it initially. Accept an alternative only if the agent offers a specific option politely.",callback_booked,"Agent does not silently accept 9pm|Agent does not just refuse|Agent offers nearest valid alternatives with specific times|Agent lets callee pick from the options|Call ends with a valid in-hours time confirmed","{""name"": ""Rahul""}",8
